avaccine,cumulative_avaccine,date_vaccine_administered,province
5304,730952,2021-06-01,Saskatchewan
9299,740251,2021-06-02,Saskatchewan
14579,754830,2021-06-03,Saskatchewan
15633,770463,2021-06-04,Saskatchewan
16667,787130,2021-06-05,Saskatchewan
13642,800772,2021-06-06,Saskatchewan
8628,809400,2021-06-07,Saskatchewan
6724,816124,2021-06-08,Saskatchewan
12528,828652,2021-06-09,Saskatchewan
16787,845439,2021-06-10,Saskatchewan
15212,860651,2021-06-11,Saskatchewan
18014,878665,2021-06-12,Saskatchewan
14849,893514,2021-06-13,Saskatchewan
9928,903442,2021-06-14,Saskatchewan
6880,910322,2021-06-15,Saskatchewan
12013,922335,2021-06-16,Saskatchewan
15402,937737,2021-06-17,Saskatchewan
24260,961997,2021-06-18,Saskatchewan
19737,981734,2021-06-19,Saskatchewan
16084,997818,2021-06-20,Saskatchewan
961,998779,2021-06-21,Saskatchewan
6496,1005275,2021-06-22,Saskatchewan
18423,1023698,2021-06-23,Saskatchewan
24971,1048669,2021-06-24,Saskatchewan
20988,1069657,2021-06-25,Saskatchewan
23323,1092980,2021-06-26,Saskatchewan
22308,1115288,2021-06-27,Saskatchewan
12395,1127683,2021-06-28,Saskatchewan
8617,1136300,2021-06-29,Saskatchewan
17420,1153720,2021-06-30,Saskatchewan
19834,1173554,2021-07-01,Saskatchewan
20981,1194535,2021-07-02,Saskatchewan
8392,1202927,2021-07-03,Saskatchewan
13445,1216372,2021-07-04,Saskatchewan
8814,1225186,2021-07-05,Saskatchewan
8348,1233534,2021-07-06,Saskatchewan
13719,1247253,2021-07-07,Saskatchewan
13314,1260567,2021-07-08,Saskatchewan
12678,1273245,2021-07-09,Saskatchewan
15623,1288868,2021-07-10,Saskatchewan
10320,1299188,2021-07-11,Saskatchewan
5458,1304646,2021-07-12,Saskatchewan
2419,1307065,2021-07-13,Saskatchewan
6358,1313423,2021-07-14,Saskatchewan
7787,1321210,2021-07-15,Saskatchewan
10925,1332135,2021-07-16,Saskatchewan
9426,1341561,2021-07-17,Saskatchewan
6406,1347967,2021-07-18,Saskatchewan
2704,1350671,2021-07-19,Saskatchewan
2636,1353307,2021-07-20,Saskatchewan
5413,1358720,2021-07-21,Saskatchewan
7286,1366006,2021-07-22,Saskatchewan
8204,1374210,2021-07-23,Saskatchewan
6856,1381066,2021-07-24,Saskatchewan
4722,1385788,2021-07-25,Saskatchewan
2542,1388330,2021-07-26,Saskatchewan
1933,1390263,2021-07-27,Saskatchewan
4562,1394825,2021-07-28,Saskatchewan
6019,1400844,2021-07-29,Saskatchewan
5345,1406189,2021-07-30,Saskatchewan
5308,1411497,2021-07-31,Saskatchewan
4099,1415596,2021-08-01,Saskatchewan
1531,1417127,2021-08-02,Saskatchewan
775,1417902,2021-08-03,Saskatchewan
1057,1418959,2021-08-04,Saskatchewan
3861,1422820,2021-08-05,Saskatchewan
3707,1426527,2021-08-06,Saskatchewan
3491,1430018,2021-08-07,Saskatchewan
2542,1432560,2021-08-08,Saskatchewan
1197,1433757,2021-08-09,Saskatchewan
853,1434610,2021-08-10,Saskatchewan
1912,1436522,2021-08-11,Saskatchewan
2755,1439277,2021-08-12,Saskatchewan
2539,1441816,2021-08-13,Saskatchewan
2562,1444378,2021-08-14,Saskatchewan
2283,1446661,2021-08-15,Saskatchewan
1166,1447827,2021-08-16,Saskatchewan
541,1448368,2021-08-17,Saskatchewan
0,0,2020-12-14,Yukon
0,0,2020-12-15,Yukon
0,0,2020-12-16,Yukon
0,0,2020-12-17,Yukon
0,0,2020-12-18,Yukon
0,0,2020-12-19,Yukon
0,0,2020-12-20,Yukon
0,0,2020-12-21,Yukon
0,0,2020-12-22,Yukon
0,0,2020-12-23,Yukon
0,0,2020-12-24,Yukon
0,0,2020-12-25,Yukon
0,0,2020-12-26,Yukon
0,0,2020-12-27,Yukon
0,0,2020-12-28,Yukon
0,0,2020-12-29,Yukon
0,0,2020-12-30,Yukon
0,0,2020-12-31,Yukon
0,0,2021-01-01,Yukon
0,0,2021-01-02,Yukon
0,0,2021-01-03,Yukon
50,50,2021-01-04,Yukon
0,50,2021-01-05,Yukon
0,50,2021-01-06,Yukon
260,310,2021-01-07,Yukon
0,310,2021-01-08,Yukon
0,310,2021-01-09,Yukon
0,310,2021-01-10,Yukon
185,495,2021-01-11,Yukon
0,495,2021-01-12,Yukon
190,685,2021-01-13,Yukon
0,685,2021-01-14,Yukon
499,1184,2021-01-15,Yukon
0,1184,2021-01-16,Yukon
0,1184,2021-01-17,Yukon
163,1347,2021-01-18,Yukon
0,1347,2021-01-19,Yukon
1243,2590,2021-01-20,Yukon
570,3160,2021-01-21,Yukon
570,3730,2021-01-22,Yukon
0,3730,2021-01-23,Yukon
0,3730,2021-01-24,Yukon
222,3952,2021-01-25,Yukon
445,4397,2021-01-26,Yukon
773,5170,2021-01-27,Yukon
0,5170,2021-01-28,Yukon
1326,6496,2021-01-29,Yukon
0,6496,2021-01-30,Yukon
0,6496,2021-01-31,Yukon
889,7385,2021-02-01,Yukon
0,7385,2021-02-02,Yukon
1706,9091,2021-02-03,Yukon
840,9931,2021-02-04,Yukon
588,10519,2021-02-05,Yukon
0,10519,2021-02-06,Yukon
0,10519,2021-02-07,Yukon
540,11059,2021-02-08,Yukon
175,11234,2021-02-09,Yukon
110,11344,2021-02-10,Yukon
90,11434,2021-02-11,Yukon
80,11514,2021-02-12,Yukon
0,11514,2021-02-13,Yukon
0,11514,2021-02-14,Yukon
0,11514,2021-02-15,Yukon
0,11514,2021-02-16,Yukon
0,11514,2021-02-17,Yukon
30,11544,2021-02-18,Yukon
306,11850,2021-02-19,Yukon
0,11850,2021-02-20,Yukon
0,11850,2021-02-21,Yukon
323,12173,2021-02-22,Yukon
1250,13423,2021-02-23,Yukon
941,14364,2021-02-24,Yukon
810,15174,2021-02-25,Yukon
0,15174,2021-02-26,Yukon
0,15174,2021-02-27,Yukon
0,15174,2021-02-28,Yukon
897,16071,2021-03-01,Yukon
1097,17168,2021-03-02,Yukon
990,18158,2021-03-03,Yukon
0,18158,2021-03-04,Yukon
1279,19437,2021-03-05,Yukon
1660,21097,2021-03-06,Yukon
0,21097,2021-03-07,Yukon
2424,23521,2021-03-08,Yukon
891,24412,2021-03-09,Yukon
1162,25574,2021-03-10,Yukon
800,26374,2021-03-11,Yukon
0,26374,2021-03-12,Yukon
1364,27738,2021-03-13,Yukon
0,27738,2021-03-14,Yukon
2232,29970,2021-03-15,Yukon
599,30569,2021-03-16,Yukon
605,31174,2021-03-17,Yukon
0,31174,2021-03-18,Yukon
0,31174,2021-03-19,Yukon
1176,32350,2021-03-20,Yukon
0,32350,2021-03-21,Yukon
790,33140,2021-03-22,Yukon
303,33443,2021-03-23,Yukon
160,33603,2021-03-24,Yukon
0,33603,2021-03-25,Yukon
222,33825,2021-03-26,Yukon
0,33825,2021-03-27,Yukon
0,33825,2021-03-28,Yukon
556,34381,2021-03-29,Yukon
447,34828,2021-03-30,Yukon
286,35114,2021-03-31,Yukon
356,35470,2021-04-01,Yukon
0,35470,2021-04-02,Yukon
0,35470,2021-04-03,Yukon
0,35470,2021-04-04,Yukon
0,35470,2021-04-05,Yukon
1723,37193,2021-04-06,Yukon
776,37969,2021-04-07,Yukon
0,37969,2021-04-08,Yukon
813,38782,2021-04-09,Yukon
905,39687,2021-04-10,Yukon
0,39687,2021-04-11,Yukon
1831,41518,2021-04-12,Yukon
836,42354,2021-04-13,Yukon
503,42857,2021-04-14,Yukon
571,43428,2021-04-15,Yukon
618,44046,2021-04-16,Yukon
0,44046,2021-04-17,Yukon
0,44046,2021-04-18,Yukon
1345,45391,2021-04-19,Yukon
580,45971,2021-04-20,Yukon
0,45971,2021-04-21,Yukon
622,46593,2021-04-22,Yukon
229,46822,2021-04-23,Yukon
0,46822,2021-04-24,Yukon
0,46822,2021-04-25,Yukon
595,47417,2021-04-26,Yukon
346,47763,2021-04-27,Yukon
179,47942,2021-04-28,Yukon
189,48131,2021-04-29,Yukon
176,48307,2021-04-30,Yukon
0,48307,2021-05-01,Yukon
0,48307,2021-05-02,Yukon
348,48655,2021-05-03,Yukon
0,48655,2021-05-04,Yukon
286,48941,2021-05-05,Yukon
199,49140,2021-05-06,Yukon
299,49439,2021-05-07,Yukon
0,49439,2021-05-08,Yukon
0,49439,2021-05-09,Yukon
397,49836,2021-05-10,Yukon
0,49836,2021-05-11,Yukon
434,50270,2021-05-12,Yukon
0,50270,2021-05-13,Yukon
382,50652,2021-05-14,Yukon
0,50652,2021-05-15,Yukon
0,50652,2021-05-16,Yukon
346,50998,2021-05-17,Yukon
0,50998,2021-05-18,Yukon
367,51365,2021-05-19,Yukon
169,51534,2021-05-20,Yukon
224,51758,2021-05-21,Yukon
0,51758,2021-05-22,Yukon
0,51758,2021-05-23,Yukon
0,51758,2021-05-24,Yukon
350,52108,2021-05-25,Yukon
252,52360,2021-05-26,Yukon
175,52535,2021-05-27,Yukon
114,52649,2021-05-28,Yukon
0,52649,2021-05-29,Yukon
0,52649,2021-05-30,Yukon
264,52913,2021-05-31,Yukon
0,52913,2021-06-01,Yukon
426,53339,2021-06-02,Yukon
386,53725,2021-06-03,Yukon
441,54166,2021-06-04,Yukon
0,54166,2021-06-05,Yukon
0,54166,2021-06-06,Yukon
372,54538,2021-06-07,Yukon
0,54538,2021-06-08,Yukon
294,54832,2021-06-09,Yukon
381,55213,2021-06-10,Yukon
272,55485,2021-06-11,Yukon
0,55485,2021-06-12,Yukon
0,55485,2021-06-13,Yukon
0,55485,2021-06-14,Yukon
359,55844,2021-06-15,Yukon
435,56279,2021-06-16,Yukon
361,56640,2021-06-17,Yukon
0,56640,2021-06-18,Yukon
377,57017,2021-06-19,Yukon
0,57017,2021-06-20,Yukon
0,57017,2021-06-21,Yukon
0,57017,2021-06-22,Yukon
699,57716,2021-06-23,Yukon
0,57716,2021-06-24,Yukon
376,58092,2021-06-25,Yukon
0,58092,2021-06-26,Yukon
0,58092,2021-06-27,Yukon
0,58092,2021-06-28,Yukon
0,58092,2021-06-29,Yukon
1281,59373,2021-06-30,Yukon
0,59373,2021-07-01,Yukon
0,59373,2021-07-02,Yukon
0,59373,2021-07-03,Yukon
0,59373,2021-07-04,Yukon
0,59373,2021-07-05,Yukon
328,59701,2021-07-06,Yukon
671,60372,2021-07-07,Yukon
0,60372,2021-07-08,Yukon
786,61158,2021-07-09,Yukon
0,61158,2021-07-10,Yukon
0,61158,2021-07-11,Yukon
0,61158,2021-07-12,Yukon
393,61551,2021-07-13,Yukon
0,61551,2021-07-14,Yukon
0,61551,2021-07-15,Yukon
332,61883,2021-07-16,Yukon
0,61883,2021-07-17,Yukon
0,61883,2021-07-18,Yukon
300,62183,2021-07-19,Yukon
0,62183,2021-07-20,Yukon
0,62183,2021-07-21,Yukon
374,62557,2021-07-22,Yukon
109,62666,2021-07-23,Yukon
0,62666,2021-07-24,Yukon
0,62666,2021-07-25,Yukon
239,62905,2021-07-26,Yukon
0,62905,2021-07-27,Yukon
164,63069,2021-07-28,Yukon
173,63242,2021-07-29,Yukon
0,63242,2021-07-30,Yukon
0,63242,2021-07-31,Yukon
0,63242,2021-08-01,Yukon
321,63563,2021-08-02,Yukon
0,63563,2021-08-03,Yukon
0,63563,2021-08-04,Yukon
261,63824,2021-08-05,Yukon
0,63824,2021-08-06,Yukon
0,63824,2021-08-07,Yukon
0,63824,2021-08-08,Yukon
234,64058,2021-08-09,Yukon
0,64058,2021-08-10,Yukon
0,64058,2021-08-11,Yukon
205,64263,2021-08-12,Yukon
0,64263,2021-08-13,Yukon
0,64263,2021-08-14,Yukon
0,64263,2021-08-15,Yukon
0,64263,2021-08-16,Yukon
135,64398,2021-08-17,Yukon
